permno,start,ending
10006,1957-03-01,1984-07-18
10030,1957-03-01,1969-01-08
10049,1925-12-31,1932-10-01
10057,1957-03-01,1992-07-02
10078,1992-08-20,2010-01-28
10102,1957-03-01,1975-02-05
10104,1989-08-03,2024-12-31
10107,1994-06-07,2024-12-31
10108,2002-07-22,2005-08-11
10137,1925-12-31,1976-06-30
10137,2000-12-11,2011-02-25
10138,1999-10-13,2024-12-31
10145,1925-12-31,2024-12-31
10147,1996-03-28,2016-09-07
10153,1925-12-31,1944-06-07
10153,1957-03-01,1963-03-13
10153,1977-06-30,1987-07-08
10161,1957-03-01,1993-11-12
10196,1944-06-07,1947-02-26
10209,1957-03-01,1963-10-16
10225,1925-12-31,2014-04-30
10233,1925-12-31,1933-03-28
10233,1957-03-01,1957-07-10
10233,1957-08-21,1959-03-25
10233,1969-05-15,1986-01-08
10241,1925-12-31,1988-12-21
10276,1957-03-01,1973-02-28
10292,1957-03-01,1962-09-26
10299,2000-04-03,2017-03-10
10321,1957-03-01,1987-08-05
10324,2001-12-14,2011-04-01
10353,1999-10-01,2001-05-11
10364,1925-12-31,1999-10-26
10372,1925-12-31,1941-08-20
10372,1947-02-26,1988-04-27
10401,1957-03-01,2005-11-18
10436,1957-03-01,1971-06-23
10452,1925-12-31,1944-06-07
10479,1925-12-31,1941-08-20
10479,1957-03-01,1973-02-28
10479,1978-03-02,1984-02-15
10487,1957-03-01,1986-05-07
10495,1925-12-31,1950-06-30
10495,1957-03-01,1977-01-19
10516,1957-03-01,1970-04-22
10516,1981-07-30,2024-12-31
10524,1925-12-31,1971-01-13
10559,1957-03-01,1986-10-08
10562,2004-07-01,2009-01-29
10575,1925-12-31,1968-08-20
10591,1925-12-31,1967-06-28
10604,1957-03-01,2000-04-17
10623,1987-04-23,1988-04-13
10693,1997-01-07,2003-03-20
10696,2001-04-02,2024-12-31
10725,2000-06-19,2004-08-31
10727,1957-03-01,1970-06-24
10735,1957-03-01,1968-01-17
10751,1957-03-01,1983-02-02
10778,1957-03-01,1958-09-24
10786,1925-12-31,2000-12-08
10791,1994-01-18,2000-06-20
10807,1925-12-31,1954-04-20
10807,1957-03-01,1965-10-20
10823,1928-08-24,1951-09-06
10823,1957-03-01,1983-11-30
10831,1925-12-31,1928-08-24
10858,1925-12-31,1940-04-15
10866,1957-03-01,1996-07-19
10874,1973-03-01,2008-06-20
10890,1925-12-31,1941-08-20
10890,1954-04-20,2008-11-10
10909,2010-04-30,2022-06-07
10942,1999-10-27,2007-01-31
10970,1950-07-03,1980-02-13
10989,1957-03-01,2000-10-02
11033,1961-06-21,1968-05-08
11041,1925-12-31,1953-06-22
11041,1964-10-22,1976-06-30
11042,1996-04-01,2002-05-14
11068,1957-03-01,1970-08-12
11081,1996-09-06,2013-10-28
11092,1957-03-01,1976-03-03
11148,1939-04-15,1953-06-22
11148,1958-06-04,1968-07-03
11156,1925-12-31,1980-11-05
11164,1957-03-01,1986-12-17
11199,1925-12-31,1939-04-15
11260,1928-11-26,1998-11-12
11287,1925-12-31,1941-08-20
11287,1957-03-01,1965-01-06
11295,1957-03-01,1986-01-22
11308,1957-03-01,2024-12-31
11332,1967-11-30,1970-04-22
11332,1985-10-24,1988-06-08
11340,1925-12-31,2000-11-01
11359,1957-03-01,1962-02-07
11367,1954-04-20,1968-08-20
11375,1957-03-01,1960-02-03
11375,1963-03-14,1968-07-16
